@RELATION GPUbenchmark

@ATTRIBUTE CudaCores numeric
@ATTRIBUTE BaseClock numeric
@ATTRIBUTE BoostClock numeric
@ATTRIBUTE MemorySpeed numeric
@ATTRIBUTE MemoryConfig numeric
@ATTRIBUTE MemoryBandwidth numeric
@ATTRIBUTE BenchmarkSpeed numeric

@DATA
3584,1480,1582,11,11,484,158
2560,1607,1733,10,8,320,126
2048,1126,1216,7,4,224,76
2816,1000,1075,7,6,336.5,98.7
2432,1607,1683,8,8,256,114
1920,1506,1683,8,8,256,98.9
2880,875,928,7,3,336,70.6
1152,1506,1708,8,3,192,67.2
1664,1050,1178,7,4,224,63.8
2304,863,900,6,3,288.4,60.9
1536,1046,1085,7,2,224.3,48.1
1536,1006,1058,6,2,192.2,44.9
1024,1127,1178,7,2,112,40.3
1344,915,980,6,2,192.2,39.5
768,1290,1392,7,4,112,38.8
1152,980,1033,6,2,192.2,37.4
1344,915,980,6,2,144.2,36.5
640,1354,1455,7,2,112,34.6
768,1024,1188,6.6,2,105.6,33.2
