x,y,class
0.123,0.273,0
0.090,0.312,0
0.093,0.425,1
0.057,0.432,1
0.033,0.455,1
0.043,0.488,1
0.073,0.465,1
0.090,0.445,1
0.130,0.440,1
0.160,0.452,1
0.120,0.467,1
0.167,0.472,1
0.197,0.487,1
0.127,0.492,1
0.090,0.485,1
0.090,0.503,1
0.083,0.522,1
0.117,0.532,1
0.133,0.513,1
0.167,0.500,1
0.113,0.565,1
0.160,0.532,1
0.203,0.518,1
0.247,0.518,1
0.230,0.537,1
0.197,0.550,1
0.160,0.553,1
0.160,0.592,1
0.190,0.575,1
0.217,0.565,1
0.263,0.547,1
0.180,0.607,1
0.230,0.598,1
0.253,0.582,1
0.267,0.563,1
0.297,0.537,1
0.310,0.562,1
0.323,0.585,1
0.287,0.598,1
0.223,0.623,1
0.247,0.657,1
0.293,0.635,1
0.283,0.620,1
0.320,0.612,1
0.350,0.592,1
0.383,0.582,1
0.353,0.558,1
0.403,0.548,1
0.433,0.570,1
0.403,0.593,1
0.373,0.607,1
0.363,0.628,1
0.337,0.648,1
0.303,0.665,1
0.330,0.685,1
0.390,0.707,1
0.373,0.690,1
0.377,0.667,1
0.397,0.640,1
0.417,0.653,1
0.407,0.618,1
0.440,0.612,1
0.443,0.590,1
0.487,0.588,1
0.523,0.590,1
0.477,0.607,1
0.507,0.610,1
0.447,0.625,1
0.487,0.625,1
0.447,0.640,1
0.487,0.645,1
0.450,0.657,1
0.493,0.660,1
0.437,0.675,1
0.490,0.673,1
0.453,0.702,1
0.497,0.697,1
0.457,0.718,1
0.507,0.713,1
0.570,0.712,1
0.547,0.683,1
0.527,0.663,1
0.537,0.650,1
0.520,0.633,1
0.533,0.618,1
0.560,0.597,1
0.577,0.608,1
0.593,0.630,1
0.560,0.630,1
0.577,0.645,1
0.563,0.665,1
0.590,0.688,1
0.640,0.690,1
0.610,0.667,1
0.680,0.667,1
0.633,0.645,1
0.717,0.647,1
0.697,0.627,1
0.657,0.630,1
0.627,0.613,1
0.677,0.610,1
0.657,0.595,1
0.603,0.592,1
0.620,0.577,1
0.610,0.562,1
0.567,0.573,1
0.777,0.618,1
0.740,0.612,1
0.693,0.592,1
0.667,0.568,1
0.797,0.592,1
0.750,0.587,1
0.707,0.570,1
0.743,0.567,1
0.793,0.572,1
0.840,0.570,1
0.787,0.552,1
0.737,0.552,1
0.687,0.553,1
0.660,0.542,1
0.697,0.533,1
0.870,0.537,1
0.833,0.542,1
0.793,0.532,1
0.747,0.525,1
0.723,0.505,1
0.760,0.492,1
0.780,0.513,1
0.820,0.518,1
0.863,0.515,1
0.837,0.502,1
0.803,0.492,1
0.783,0.463,1
0.817,0.472,1
0.853,0.483,1
0.903,0.500,1
0.907,0.480,1
0.863,0.467,1
0.833,0.458,1
0.813,0.438,1
0.847,0.422,1
0.867,0.443,1
0.903,0.460,1
0.937,0.458,1
0.947,0.432,1
0.940,0.413,1
0.900,0.440,1
0.890,0.417,1
0.887,0.400,1
0.487,0.562,1
0.530,0.555,1
0.513,0.532,1
0.450,0.537,1
0.350,0.522,1
0.410,0.510,0
0.467,0.510,0
0.507,0.493,0
0.570,0.513,0
0.623,0.517,0
0.553,0.485,0
0.527,0.480,0
0.477,0.475,0
0.447,0.490,0
0.347,0.497,1
0.413,0.468,0
0.450,0.453,0
0.410,0.450,0
0.377,0.460,0
0.310,0.448,0
0.273,0.418,0
0.357,0.440,0
0.493,0.447,0
0.517,0.463,0
0.567,0.457,0
0.620,0.467,0
0.647,0.435,0
0.587,0.435,0
0.537,0.437,0
0.507,0.428,0
0.457,0.433,0
0.413,0.425,0
0.380,0.420,0
0.340,0.415,0
0.303,0.395,0
0.367,0.400,0
0.407,0.398,0
0.433,0.413,0
0.450,0.402,0
0.487,0.408,0
0.553,0.420,0
0.593,0.410,0
0.637,0.412,0
0.690,0.397,0
0.530,0.398,0
0.263,0.387,0
0.250,0.358,0
0.260,0.335,0
0.303,0.312,0
0.350,0.308,0
0.433,0.280,0
0.497,0.280,0
0.557,0.288,0
0.617,0.293,0
0.663,0.317,0
0.703,0.347,0
0.660,0.368,0
0.613,0.383,0
0.570,0.393,0
0.587,0.373,0
0.613,0.355,0
0.637,0.332,0
0.603,0.313,0
0.587,0.340,0
0.543,0.322,0
0.537,0.340,0
0.557,0.360,0
0.527,0.357,0
0.537,0.377,0
0.487,0.387,0
0.503,0.372,0
0.457,0.385,0
0.417,0.378,0
0.370,0.383,0
0.310,0.363,0
0.333,0.348,0
0.370,0.330,0
0.370,0.358,0
0.413,0.360,0
0.453,0.365,0
0.493,0.358,0
0.443,0.352,0
0.410,0.340,0
0.433,0.330,0
0.440,0.313,0
0.513,0.312,0
0.500,0.327,0
0.500,0.345,0
0.470,0.338,0
0.460,0.295,0
0.410,0.303,0
